Supplemental Table 1- Geographic details of 508 Populus trichocarpa and P. balsamifera accessions and rationalle for exclusion from black cottonwood analyses,,,,,,,,,,,
Accession,Species,Drainage/Location name,Drainage numbera,Location code,Location numberb,Latitude,Longitude,Elevation,Included in 424 accession black cottonwood dataset,Rationalle for exclusion from 424 accession black cottonwood dataset,
ALSC-1-4,Populus trichocarpa,Alsek,1,ALSC,1,59.616667,-137.916667,107,yes,,
ALSC-1-5,Populus trichocarpa,Alsek,1,ALSC,1,59.616667,-137.916667,107,yes,,
TATB-1-4,Populus trichocarpa,Alsek,1,TATB,2,59.433333,-137.833333,34,yes,,
TATB-1-7,Populus trichocarpa,Alsek,1,TATB,2,59.433333,-137.833333,34,yes,,
DESD-2-2,Populus trichocarpa,Dease,2,DESD,134,59.45,-129.016667,674,no,Qbalsam = 0.615,
NKND-3-2,Populus trichocarpa,Taku,3,NKND,3,58.933333,-133.183333,122,yes,,
TAKA-3-1,Populus trichocarpa,Taku,3,TAKA,135,58.6,-133.566667,31,no,d<0.018 with other accession,
TAKA-3-2,Populus trichocarpa,Taku,3,TAKA,135,58.6,-133.566667,31,no,d<0.018 with other accession,
TAKA-3-3,Populus trichocarpa,Taku,3,TAKA,135,58.6,-133.566667,31,no,labeling problem,
TAKB-3-3,Populus trichocarpa,Taku,3,TAKB,4,58.7,-133.4,49,yes,,
TAKB-3-4,Populus trichocarpa,Taku,3,TAKB,4,58.7,-133.4,49,yes,,
TAKB-3-5,Populus trichocarpa,Taku,3,TAKB,4,58.7,-133.4,49,yes,,
STKG-4-4,Populus trichocarpa,Upper Stikine,4,STKG,136,57.95,-129.666667,732,no,drainage with< 4 accessions,
TNZA-4-1,Populus trichocarpa,Upper Stikine,4,TNZA,136,58.3,-130.466667,567,no,drainage with< 4 accessions,
TNZA-4-3,Populus trichocarpa,Upper Stikine,4,TNZA,136,58.3,-130.466667,567,no,drainage with< 4 accessions,
STKB-5-3,Populus trichocarpa,Lower Stikine,5,STKB,5,56.66,-131.783333,31,no,d<0.018 with other accession,
STKB-5-4,Populus trichocarpa,Lower Stikine,5,STKB,5,56.66,-131.783333,31,yes,,
STKD-5-1,Populus trichocarpa,Lower Stikine,5,STKD,6,57.333333,-131.783333,49,yes,,
STKD-5-3,Populus trichocarpa,Lower Stikine,5,STKD,6,57.333333,-131.783333,49,yes,,
STKE-5-3,Populus trichocarpa,Lower Stikine,5,STKE,7,57.516667,-131.783333,61,yes,,
